Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Orders,Unit Cost,Total Cost (Current),Average Age,Aircraft  Manufacturer,Aircraft Model
Air France/KLM,Air France,Aerospatiale/BAC Concorde,565,12,7,7,137,29,0,18,Aerospatiale/BAC,Concorde
IAG,British Airways,Aerospatiale/BAC Concorde,565,12,7,7,137,29,0,18,Aerospatiale/BAC,Concorde
Air Algerie,Air Algerie,Airbus A300,565,12,2,2,137,75,0,18,Airbus,A300
Air China,Air Macau (66.9%),Airbus A300,565,12,8,8,137,75,0,18,Airbus,A300
Air France/KLM,Air France,Airbus A300,565,12,25,25,137,75,0,18,Airbus,A300
Air France/KLM,Transavia,Airbus A300,565,12,1,1,137,75,0,18,Airbus,A300
Air India,Air India,Airbus A300,565,12,5,5,137,75,0,18,Airbus,A300
Alitalia,Alitalia,Airbus A300,565,12,14,14,137,75,0,18,Airbus,A300
American Airlines,American Airlines,Airbus A300,565,12,35,35,137,75,0,18,Airbus,A300
Avianca,AeroUnion,Airbus A300,5,12,2,7,137,75,375,35.8,Airbus,A300
Cathay Pacific,Air Hong Kong,Airbus A300,10,12,2,12,137,75,750,14,Airbus,A300
China Airlines,China Airlines,Airbus A300,565,12,20,20,137,75,0,18,Airbus,A300
China Eastern Airlines,China Eastern Airlines,Airbus A300,565,12,13,13,137,75,0,18,Airbus,A300
China Southern Airlines,China Southern Airlines,Airbus A300,565,12,6,6,137,75,0,18,Airbus,A300
EgyptAir,EgyptAir Cargo,Airbus A300,3,12,1,4,137,75,225,28.6,Airbus,A300
EgyptAir,EgyptAir,Airbus A300,565,12,21,21,137,75,0,18,Airbus,A300
Emirates,Emirates,Airbus A300,565,12,7,7,137,75,0,18,Airbus,A300
Etihad Airways,Etihad Airways,Airbus A300,565,12,3,3,137,75,0,18,Airbus,A300
FedEx Express,FedEx Express,Airbus A300,68,12,3,71,137,75,5100,21.4,Airbus,A300
Finnair,Finnair,Airbus A300,565,12,2,2,137,75,0,18,Airbus,A300
Garuda Indonesia,Garuda Indonesia,Airbus A300,565,12,22,22,137,75,0,18,Airbus,A300
IAG,Iberia,Airbus A300,565,12,9,9,137,75,0,18,Airbus,A300
Japan Airlines,Japan Airlines,Airbus A300,565,12,22,22,137,75,0,18,Airbus,A300
Korean Air,Korean Air,Airbus A300,565,12,40,40,137,75,0,18,Airbus,A300
Lufthansa,Lufthansa,Airbus A300,565,12,26,26,137,75,0,18,Airbus,A300
Malaysia Airlines,Malaysia Airlines,Airbus A300,565,12,6,6,137,75,0,18,Airbus,A300
Monarch Airlines,Monarch Airlines,Airbus A300,565,12,4,4,137,75,0,18,Airbus,A300
Oman Air,Oman Air,Airbus A300,565,12,1,1,137,75,0,18,Airbus,A300
Pakistan International Airlines,Pakistan International Airlines,Airbus A300,565,12,13,13,137,75,0,18,Airbus,A300
Pegasus Airlines,Pegasus Airlines,Airbus A300,565,12,2,2,137,75,0,18,Airbus,A300
Philippine Airlines,Philippine Airlines,Airbus A300,565,12,13,13,137,75,0,18,Airbus,A300
Qantas Airways,Qantas Airways,Airbus A300,565,12,4,4,137,75,0,18,Airbus,A300
Qatar Airways,Qatar Airways,Airbus A300,565,12,9,9,137,75,0,18,Airbus,A300
Qatar Airways,Qatar Airways Cargo,Airbus A300,565,12,3,3,137,75,0,18,Airbus,A300
SAS Group,Scandinavian Airlines,Airbus A300,565,12,4,4,137,75,0,18,Airbus,A300
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A300,565,12,36,36,137,75,0,18,Airbus,A300
Singapore Airlines,Singapore Airlines,Airbus A300,565,12,8,8,137,75,0,18,Airbus,A300
South African Airways,South African Airways,Airbus A300,565,12,9,9,137,75,0,18,Airbus,A300
Thai Airways,Thai Airways,Airbus A300,565,12,35,35,137,75,0,18,Airbus,A300
Thomas Cook Airlines,Condor,Airbus A300,565,12,9,9,137,75,0,18,Airbus,A300
Tunisair,Tunisair,Airbus A300,565,12,7,7,137,75,0,18,Airbus,A300
Turkish Airlines,Turkish Airlines,Airbus A300,565,12,2,2,137,75,0,18,Airbus,A300
UPS Airlines,UPS,Airbus A300,52,12,1,53,137,75,3900,13.9,Airbus,A300
Vietnam Airlines,Vietnam Airlines,Airbus A300,565,12,2,2,137,75,0,18,Airbus,A300
Aeroflot,Aeroflot,Airbus A310,565,12,14,14,137,75,0,18,Airbus,A310
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,565,12,5,5,137,75,0,18,Airbus,A310
Air Algerie,Air Algerie,Airbus A310,565,12,6,6,137,75,0,18,Airbus,A310
Air France/KLM,Air France,Airbus A310,565,12,11,11,137,75,0,18,Airbus,A310
Air France/KLM,KLM,Airbus A310,565,12,11,11,137,75,0,18,Airbus,A310
Air France/KLM,Transavia,Airbus A310,565,12,1,1,137,75,0,18,Airbus,A310
Air France/KLM,Martinair,Airbus A310,565,12,2,2,137,75,0,18,Airbus,A310
Air India,Air India,Airbus A310,565,12,28,28,137,75,0,18,Airbus,A310
Air Transat,Air Transat,Airbus A310,9,12,5,14,137,75,675,26.4,Airbus,A310
China Eastern Airlines,China Eastern Airlines,Airbus A310,565,12,5,5,137,75,0,18,Airbus,A310
Delta Airlines,Delta Airlines,Airbus A310,565,12,30,30,137,75,0,18,Airbus,A310
Emirates,Emirates,Airbus A310,565,12,13,13,137,75,0,18,Airbus,A310
Etihad Airways,Etihad Airways,Airbus A310,565,12,1,1,137,75,0,18,Airbus,A310
FedEx Express,FedEx Express,Airbus A310,8,12,62,70,137,75,600,28.6,Airbus,A310
Kenya Airways,Kenya Airways,Airbus A310,565,12,6,6,137,75,0,18,Airbus,A310
Lion Air,Lion Air,Airbus A310,565,12,1,1,137,75,0,18,Airbus,A310
Lufthansa,Lufthansa,Airbus A310,565,12,25,25,137,75,0,18,Airbus,A310
Lufthansa,Austrian Airlines,Airbus A310,565,12,4,4,137,75,0,18,Airbus,A310
Oman Air,Oman Air,Airbus A310,565,12,6,6,137,75,0,18,Airbus,A310
Pakistan International Airlines,Pakistan International Airlines,Airbus A310,4,12,8,12,137,75,300,23.7,Airbus,A310
Qatar Airways,Qatar Airways,Airbus A310,565,12,2,2,137,75,0,18,Airbus,A310
Royal Jordanian,Royal Jordanian,Airbus A310,2,12,12,14,137,75,150,28.6,Airbus,A310
S7 Airlines,S7 Airlines,Airbus A310,565,12,9,9,137,75,0,18,Airbus,A310
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A310,565,12,1,1,137,75,0,18,Airbus,A310
Singapore Airlines,Singapore Airlines,Airbus A310,565,12,23,23,137,75,0,18,Airbus,A310
Singapore Airlines,SilkAir,Airbus A310,565,12,2,2,137,75,0,18,Airbus,A310
TAP Portugal,TAP Portugal,Airbus A310,565,12,7,7,137,75,0,18,Airbus,A310
Thai Airways,Thai Airways,Airbus A310,565,12,4,4,137,75,0,18,Airbus,A310
Thomas Cook Airlines,Condor,Airbus A310,565,12,5,5,137,75,0,18,Airbus,A310
Tunisair,Tunisair,Airbus A310,565,12,2,2,137,75,0,18,Airbus,A310
Turkish Airlines,Turkish Airlines,Airbus A310,565,12,19,19,137,75,0,18,Airbus,A310
Vietnam Airlines,Vietnam Airlines,Airbus A310,565,12,2,2,137,75,0,18,Airbus,A310
Air France/KLM,Air France,Airbus A318,18,12,261,18,137,66,1193,11.6,Airbus,A318
Avianca,Avianca,Airbus A318,10,12,261,10,137,66,663,11.8,Airbus,A318
Avianca,Avianca Brazil,Airbus A318,13,12,2,15,137,66,862,8.7,Airbus,A318
Frontier Airlines,Frontier Airlines,Airbus A318,565,12,11,11,137,66,0,18,Airbus,A318
IAG,British Airways,Airbus A318,2,12,261,2,137,66,133,7.3,Airbus,A318
Aegean Airlines,Aegean Airlines,Airbus A319,1,12,3,4,137,90,90,11.6,Airbus,A319
Aegean Airlines,Olympic Air,Airbus A319,565,12,8,8,137,90,0,18,Airbus,A319
Aeroflot,Rossiya Airlines,Airbus A319,26,12,5,31,137,90,2330,12.7,Airbus,A319
Aeroflot,Aeroflot,Airbus A319,565,12,15,15,137,90,0,18,Airbus,A319
Aeroflot,Aurora Airlines,Airbus A319,10,12,261,10,137,90,896,11,Airbus,A319
Air Astana,Air Astana,Airbus A319,1,12,261,1,137,90,90,8.4,Airbus,A319
Air Berlin,Air Berlin,Airbus A319,6,12,15,21,137,90,538,8.5,Airbus,A319
Air Canada,Air Canada,Airbus A319,15,12,33,48,137,90,1344,18.9,Airbus,A319
Air Canada,Air Canada Jetz,Airbus A319,3,12,2,5,137,90,269,18.7,Airbus,A319
Air Canada,Air Canada Rouge,Airbus A319,20,12,261,20,137,90,1792,18.6,Airbus,A319
Air China,Air China,Airbus A319,33,12,3,36,137,90,2957,10.5,Airbus,A319
Air China,Shenzhen Airlines,Airbus A319,5,12,261,5,137,90,448,10.5,Airbus,A319
Air China,Air Macau (66.9%),Airbus A319,4,12,1,5,137,90,358,14.1,Airbus,A319
Air France/KLM,Air France,Airbus A319,38,12,11,49,137,90,3405,16.2,Airbus,A319
Air India,Air India,Airbus A319,22,12,2,24,137,90,1971,8.5,Airbus,A319
Air Malta,Air Malta,Airbus A319,3,12,261,3,137,419,38425,18,Airbus,A319
Air Mauritius,Air Mauritius,Airbus A319,2,12,261,2,137,419,38425,14.6,Airbus,A319
Air Namibia,Air Namibia,Airbus A319,4,12,1,5,137,419,38425,6.5,Airbus,A319
Alitalia,Alitalia,Airbus A319,22,12,261,22,137,90,1971,9.7,Airbus,A319
Allegiant Air,Allegiant Air,Airbus A319,17,6,261,23,19,90,1523,11.5,Airbus,A319
American Airlines,American Airlines,Airbus A319,125,12,261,125,137,90,11200,12.8,Airbus,A319
Avianca,Avianca,Airbus A319,30,12,6,22,28,90,2688,3.9,Airbus,A319
Avianca,Avianca Brazil,Airbus A319,4,12,261,4,137,90,358,6.1,Airbus,A319
Avianca,Avianca Ecuador,Airbus A319,6,12,1,7,137,90,538,12.8,Airbus,A319
Avianca,Avianca Peru,Airbus A319,5,12,261,1,137,90,448,9.2,Airbus,A319
Avianca,Avianca El Salvador/TACA Airlines,Airbus A319,8,12,3,11,137,90,717,8.6,Airbus,A319
Cebu Pacific Air,Cebu Pacific Air,Airbus A319,5,12,5,10,137,90,448,10.5,Airbus,A319
China Eastern Airlines,China Eastern Airlines,Airbus A319,36,12,9,45,137,90,3226,4.1,Airbus,A319
China Eastern Airlines,China United Airlines,Airbus A319,565,12,3,3,137,90,0,18,Airbus,A319
China Southern Airlines,China Southern Airlines,Airbus A319,34,12,7,41,137,90,3046,10.6,Airbus,A319
